factor1,species,global.leaf.n
C.Herb,Waldsteinia fragaroides,13.9
C.Herb,Solidago nemoralis,13.8
C.Herb,Impatiens biflora,13.7
C.Herb,Crinum americanum,13.6
C.Herb,Equisetum arvense,13.4
C.Herb,Lectuca biennis,13.4
C.Herb,Antennaria neglecta,13.3
C.Herb,Monarda punctata,13.2
C.Herb,Euphorbia corollata,12.9
C.Herb,Eupatorium perfoliatum,12.8
C.Herb,Liatris cylindracea,12.8
C.Herb,Mikania scandens,12.7
C.Herb,Solidago rigida,12.7
C.Herb,Linnea borealis,12.5
C.Herb,Lysimachia ciliata,12.5
C.Herb,Pyrola rotundifolia,12.5
C.Herb,Geum canadense,12.3
C.Herb,Mitreola sessilifolia,12.3
C.Herb,Scaveola phlebopetala,12.3
C.Herb,Cicuta maculata,12.1
C.Herb,Thalictrum dasycarpum,11.9
C.Herb,Bacopa caroliniana,11.8
C.Herb,Solidago gigantea,11.8
C.Herb,Liatris aspera,11.7
C.Herb,Oxypolis rigidor,11.6
C.Herb,Solidago canadensis,11.2
C.Herb,Anemone canadensis,11
C.Herb,Eupatorium capillifolium,11
C.Herb,Zizia aptera,10.7
C.Herb,Tradescantia ohioensis,10.4
C.Herb,Coreopsis palmata,10.3
C.Herb,Hieracium longipilum,10.3
C.Herb,Pluchea foetida,9.3
C.Herb,Amaranthus cannabinus,9.1
C.Herb,Iris sp.,9.1
C.Herb,Ludwigia sp.,9.1
C.Herb,Galax aphylla,8.9
C.Herb,Ratibida pinnata,8.6
C.Herb,Eryngium yuccifolium,8.4
D.Grass,Deschampsia antarctica,42.9
D.Grass,Poa annua,38.5
D.Grass,Agropyron caninum,38
D.Grass,Poa trivialis,33.6
D.Grass,Lolium perenne,32.7
D.Grass,Milium effusum,32.5
D.Grass,Phalaris arundinacea,31.8
D.Grass,Trisetum flavescens,30.1
D.Grass,Bromus ramosus,29.9
D.Grass,Festuca gigantea,29.9
D.Grass,Holcus mollis,29.6
D.Grass,Xeranthemum inapertum,29.1
D.Grass,Arrhenatherum elatius,28.7
D.Grass,Melica uniflora,28.6
D.Grass,Phleum pratense,28.5
D.Grass,Melica nutans,28.4
D.Grass,Glyceria fluitans,28
D.Grass,Anisantha sterilis,27.9
D.Grass,Dactylis glomerata,27.2
D.Grass,Aegilops geniculata,27.1
D.Grass,Elytrigia repens,27.1
D.Grass,Phragmites communis,26.8
D.Grass,Brachypodium distachyon,26.6
D.Grass,Ophiopodon japonicum,25.4
D.Grass,Secale cerale,25.4
D.Grass,Melinis minutiflora,24.6
D.Grass,Glyceria maxima,24.4
D.Grass,Koeleria pyramidata,24.1
D.Grass,Carex nigra,24
D.Grass,Calamagrostis villosa,23.8
D.Grass,Avena barbata,23.6
D.Grass,Agrostis capillaris,23.3
D.Grass,Brachypodium silvaticum,23
D.Grass,Bromus lanceolatus,22.7
D.Grass,Festuca altissima,22.7
D.Grass,Bambusa vulgaris,22.3
D.Grass,Bromus erectus,21.7
D.Grass,Calamagrostis arundinacea,21.7
D.Grass,Anthoxanthum odoratum,21.5
D.Grass,Sesleria varia,21.2
D.Grass,Molinia coerulea,21.1
D.Grass,Carex sp.,21
D.Grass,Eriophorum angustifolium,20.3
D.Grass,Deschampsia caespitosa,20
D.Grass,Holcus lanatus,19.9
D.Grass,Briza media,19.6
D.Grass,Calamagrostis canescens,19.6
D.Grass,Deschampsia flexuosa,19.6
D.Grass,Phleum alpinum,19.2
D.Grass,Festuca ovina,19
D.Grass,Poa chaixii,18.6
D.Grass,Brachypodium pinnatum,18.5
D.Grass,Koeleria macrantha,18.1
D.Grass,Avenula bromoides,17.9
D.Grass,Carex hallerana,17.8
D.Grass,Brachyelectrum erectum,17.3
D.Grass,Oryzospis asperifolia,17.3
D.Grass,Calamagrostis epigeios,17.2
D.Grass,Poa nemoralis,17.2
D.Grass,Poa flabellata,17.1
D.Grass,Helictotrichon pratense,16.4
D.Grass,Sieglingia decumbens,16.2
D.Grass,Festuca rubra,16.1
D.Grass,Agrostis tenuis,15.7
D.Grass,Andropogon glomeratus,15.3
D.Grass,Bromopsis erecta,14.8
D.Grass,Nardus stricta,14.8
D.Grass,Schizachne purpurascens,14.3
D.Grass,Festuca contracta,14.2
D.Grass,Juncus macer,14.2
D.Grass,Brachypodium phoenicoides,14.1
D.Grass,Calamagrostis neglecta,13.8
D.Grass,Andropogon virginicus,13.3
D.Grass,Hystrix patula,12.6
D.Grass,Andropogon rerardi,12.5
D.Grass,Pennisetum setaceum,12.1
D.Grass,Heteropogon contortus,11.8
D.Grass,Calamagrostis canadensis,11.2
D.Grass,Eleocharis sp.,10.3
D.Grass,Andropogon gerardi,10.2
D.Grass,Bouteloua hirsuta,9.7
D.Grass,Panicum hemitomon,9.5
D.Grass,Bromus ciliatus,9.3
D.Grass,Agropyron repens,9.1
D.Grass,Triodia scariosa,8.8
D.Grass,Sorghastrum nutants,8.3
D.Grass,Danthonia spicata,8.2
D.Grass,Cladium jamaicense,7.9
D.Grass,Brachypodium retusum,7.8
D.Grass,Koeleria cristata,6.5
